epoch,recon_mse,lr
1,0.102763,3.600e-06
2,0.076594,5.200e-06
3,0.059282,6.800e-06
4,0.049032,8.400e-06
5,0.042840,1.000e-05
6,0.038889,1.000e-05
7,0.036276,1.000e-05
8,0.034472,1.000e-05
9,0.033116,1.000e-05
10,0.032065,1.000e-05
11,0.031215,1.000e-05
12,0.030463,1.000e-05
13,0.029760,1.000e-05
14,0.029039,9.999e-06
15,0.028615,9.999e-06
16,0.028001,9.999e-06
17,0.027487,9.999e-06
18,0.026996,9.999e-06
19,0.026527,9.999e-06
20,0.026061,9.999e-06
21,0.025591,9.998e-06
22,0.025163,9.998e-06
23,0.024769,9.998e-06
24,0.024357,9.998e-06
25,0.024034,9.998e-06
26,0.023725,9.997e-06
27,0.023294,9.997e-06
28,0.022985,9.997e-06
29,0.022753,9.996e-06
30,0.022494,9.996e-06
31,0.021992,9.996e-06
32,0.021793,9.995e-06
33,0.021435,9.995e-06
34,0.021171,9.995e-06
35,0.020881,9.994e-06
36,0.020664,9.994e-06
37,0.020351,9.994e-06
38,0.020260,9.993e-06
39,0.019906,9.993e-06
40,0.019707,9.992e-06
41,0.019407,9.992e-06
42,0.019232,9.992e-06
43,0.019209,9.991e-06
44,0.018862,9.991e-06
45,0.018525,9.990e-06
46,0.018408,9.990e-06
47,0.018231,9.989e-06
48,0.017961,9.989e-06
49,0.017814,9.988e-06
50,0.017532,9.987e-06
51,0.017370,9.987e-06
52,0.017278,9.986e-06
53,0.017185,9.986e-06
54,0.016996,9.985e-06
55,0.016723,9.985e-06
56,0.016620,9.984e-06
57,0.016563,9.983e-06
58,0.016342,9.983e-06
59,0.016046,9.982e-06
60,0.016038,9.981e-06
61,0.015817,9.981e-06
62,0.015698,9.980e-06
63,0.015409,9.979e-06
64,0.015365,9.978e-06
65,0.015209,9.978e-06
66,0.015056,9.977e-06
67,0.014985,9.976e-06
68,0.014841,9.975e-06
69,0.014660,9.975e-06
70,0.014542,9.974e-06
71,0.014428,9.973e-06
72,0.014394,9.972e-06
73,0.014259,9.971e-06
74,0.014227,9.971e-06
75,0.014011,9.970e-06
76,0.013878,9.969e-06
77,0.013819,9.968e-06
78,0.013664,9.967e-06
79,0.013603,9.966e-06
80,0.013606,9.965e-06
81,0.013347,9.964e-06
82,0.013202,9.963e-06
83,0.013037,9.962e-06
84,0.013036,9.961e-06
85,0.012878,9.960e-06
86,0.012821,9.959e-06
87,0.012656,9.958e-06
88,0.012561,9.957e-06
89,0.012572,9.956e-06
90,0.012446,9.955e-06
91,0.012384,9.954e-06
92,0.012313,9.953e-06
93,0.012232,9.952e-06
94,0.012100,9.951e-06
95,0.011950,9.950e-06
96,0.011896,9.949e-06
97,0.011820,9.948e-06
98,0.011782,9.946e-06
